gene_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Slc35c2,928,1047,882,774,808,648,772,907,1033,653,1352,936
Mafb,1819,1547,1510,1022,1119,1218,1238,794,712,366,973,1592
Slc35c1,494,534,512,386,427,346,406,548,678,419,876,532
Dbh,6,0,5,0,0,0,0,4,0,5,7,0
Grem1,0,36,76,27,2,2,0,820,1852,370,438,22
Mir181a-2,0,1,0,0,0,0,1,0,0,0,1,0
Ss18l1,211,233,175,182,232,171,228,229,249,178,400,203
Mir7578,1,1,1,1,1,1,1,1,1,1,1,1
Nup214,1589,1653,1352,1184,1373,1148,1353,1450,1661,1134,2618,1812
Pip4k2a,422,583,552,472,495,510,530,427,535,321,714,570
Atp5c1,2537,3344,2928,1996,2515,2142,2483,3204,3662,2406,4786,2920
Olfr1158,0,0,0,0,0,0,0,0,0,0,0,0
Ntng2,644,682,596,593,517,432,429,393,396,234,610,727
Olfr1154,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1155,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1156,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1157,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1151,0,0,0,0,1,0,0,0,0,0,0,0
Olfr1152,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1153,0,0,0,0,0,0,0,0,0,0,0,0
Slc23a2,2563,2908,2767,2058,2156,2024,2340,2244,2331,1919,4158,3138
Trdmt1,243,347,253,148,249,189,232,233,200,227,404,270
Mir6999,1,1,1,0,2,1,1,2,1,0,2,1
4930517E11Rik,0,0,0,0,0,0,0,0,0,0,0,0
BC052040,157,170,117,87,140,99,118,139,210,146,218,127
Snord17,1,4,6,1,2,2,3,3,3,1,5,1
Snord12,20,27,14,20,21,14,13,15,9,12,38,14
Ccbl1,229,268,179,258,186,152,156,161,171,119,247,247
Pdia3,22812,31110,25008,15811,20460,17198,22057,27402,34606,19369,39335,27165
1500011K16Rik,256,301,221,218,233,194,212,196,216,172,289,227
Dusp19,154,226,174,130,157,130,161,188,218,170,246,149
Dusp15,0,0,0,3,4,0,0,0,0,0,2,2
Rpl7a,10766,14365,12440,9679,10894,9334,11075,14922,18359,11397,22891,13027
Bmi1,763,992,718,531,698,638,656,817,923,732,1240,797
Gm14295,178,290,175,142,192,133,201,241,236,223,423,209
Pax6,0,2,0,0,3,0,2,0,0,2,0,0
Pax1,63,115,96,106,87,77,64,41,56,33,78,112
1700001O22Rik,0,0,0,0,0,0,0,0,0,0,5,0
Pax8,0,0,0,0,0,0,0,0,0,0,0,0
Pfkfb3,3805,7724,5499,4464,5701,4412,6190,4707,3759,5306,4028,6635
1700101E01Rik,0,6,0,0,0,0,0,0,4,0,4,0
Bahd1,814,832,783,736,727,678,731,832,965,545,1360,897
Nr1h3,3045,3142,2762,2218,2442,2058,2181,2656,2301,1592,4089,3033
Slc20a1,817,1089,830,817,769,674,951,1356,1521,1108,2416,808
Tcea2,160,222,197,188,132,131,137,138,138,105,268,207
BC051628,0,4,0,0,2,0,0,0,0,0,0,2
Tm9sf4,3277,3704,3343,2447,2835,2528,3003,3436,3775,2515,5575,3819
Capn3,79,58,60,57,56,47,44,26,11,26,56,52
1700060C20Rik,0,0,0,0,0,0,0,0,0,0,0,0
Blcap,1068,1176,1038,771,964,756,910,1082,1272,841,1869,1085
Pced1a,1013,1120,929,777,814,624,675,856,872,625,1341,954
Rrbp1,12177,13155,11701,10978,11413,9668,13128,15788,16187,12711,30642,12557
Eif3j2,1211,1388,897,747,1223,1150,1014,1444,1709,1037,1834,1324
Eif3j1,81,170,293,193,189,66,319,28,1,99,470,1
Dhx35,516,662,538,397,405,349,428,472,504,353,813,586
Ccdc3,125,87,120,81,161,174,295,89,126,95,213,127
Plxdc2,43674,42194,39358,26143,31910,30147,32238,23808,21693,19072,34730,44039
Slpi,1,68,23,28,0,7,1,51,86,33,142,20
Tas2r134,0,0,0,0,0,0,0,0,0,0,0,0
Mrc1,20,38,16,14,16,11,9,16,18,28,31,12
Chac1,5,5,5,0,3,0,0,8,28,10,28,7
Svs3b,0,0,0,0,0,0,0,0,0,0,0,0
4921508D12Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1208,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1209,0,0,0,0,0,0,0,0,0,0,0,0
Ghrh,0,0,0,0,0,0,0,9,0,0,5,0
Nkx2-2os,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1200,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1201,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1202,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1204,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1205,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1206,0,0,0,0,0,0,0,0,0,0,0,0
Gm14124,0,0,0,0,0,0,0,4,0,0,0,0
Neurl2,120,169,128,131,133,74,87,103,139,112,217,128
Mir129b,0,0,0,0,0,0,0,0,0,0,0,0
Arfgef2,1557,1816,1614,1312,1246,1299,1481,1438,1635,1223,2652,1805
4932418E24Rik,5,3,2,5,5,5,12,0,5,10,5,2
Slc52a3,27,28,31,35,36,13,40,34,31,39,44,38
Elf5,0,9,3,0,0,4,5,0,0,0,0,3
1700029I15Rik,8,20,10,19,5,15,11,16,0,6,20,22
Mir199b,1,0,1,0,2,0,2,0,0,0,0,1
Gid8,1506,1774,1491,1215,1363,1080,1457,1548,1757,1227,2459,1610
Mapkap1,1580,1973,1648,1201,1438,1280,1437,1642,1893,1187,2568,1900
Gatm,11,64,24,2,30,3,6,19,68,21,32,24
Polr1b,525,568,514,432,479,404,493,569,654,435,1005,559
Tgif2,364,366,309,265,313,223,313,489,619,338,765,324
Rmdn3,739,749,719,544,588,558,558,706,830,583,1200,813
Golga1,721,889,677,644,639,501,572,774,810,549,1369,768
Pcsk2,0,2,3,4,4,5,2,0,2,0,0,15
Trp53tg5,3,0,0,0,0,0,0,0,5,3,2,4
Creb3l1,5405,4479,3877,2889,4539,3231,4533,5726,6244,3348,10441,4374
Sptlc3,0,0,0,0,0,0,0,0,0,0,0,0
Adig,0,0,0,0,0,0,0,0,0,0,0,0
Snx21,831,839,717,799,709,716,707,594,584,378,921,927
Bub1,0,0,0,0,2,2,0,192,439,174,270,4
Serf2,6188,7497,6579,4953,5730,5016,5977,6854,8687,4780,9888,7070
Olfr50,0,0,0,0,0,0,0,0,0,0,0,0
Snhg7,37,37,44,32,34,27,27,39,56,44,119,55
Psma7,1486,1977,1629,1331,1449,1241,1546,2071,2633,1836,3783,1837
Gdap1l1,3,0,5,0,4,3,2,0,0,3,3,0
Spata25,0,0,0,0,0,3,0,4,2,0,2,0
Cdc25b,447,422,350,480,348,324,505,491,841,661,942,352
Olfr1112,0,0,0,0,0,0,0,0,0,0,0,0
Pdk1,430,520,362,255,393,340,329,274,319,210,391,491
Zgpat,1240,1247,1107,1012,920,807,925,901,1039,559,1570,1275
Fam227b,0,0,0,0,0,0,0,0,0,0,0,0
Nmi,451,628,481,370,391,383,449,597,735,569,1249,529
Chgb,3,3,4,6,2,3,0,0,4,0,6,6
Kcnj3,0,0,0,0,0,0,0,0,0,0,0,0
C1ql3,51,40,11,11,63,12,5,2,10,4,8,17
Zbp1,362,556,344,314,296,188,297,3332,4482,3048,7451,446
Zdhhc12,141,185,153,109,122,99,85,224,244,175,358,169
Meis2,1145,1310,1106,851,1008,910,1062,954,1043,740,1430,1337
Fam110a,1243,980,919,719,967,697,735,790,710,369,926,1074
A530006G24Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ptgds,0,0,0,0,0,0,0,0,0,0,0,0
Grin1,11,2,0,5,4,3,9,2,3,2,0,0
4930533B01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13483,3,2,0,0,8,0,8,4,0,0,5,0
Rbm12,923,1003,860,664,804,699,897,884,1012,726,1441,823
Golga2,4364,4670,3844,3357,3680,2944,3537,3697,3878,2697,6458,4403
Rbm17,1246,1373,1209,927,1063,866,1109,1287,1580,917,2277,1378
Ubr3,2493,2746,2422,1790,2102,2097,2326,2148,2305,1995,3482,2699
Nfe2l2,3844,4372,3936,3021,3369,3198,3395,3785,4171,3163,5762,4311
Rbm18,1011,1269,1088,828,997,865,966,973,1017,781,1389,1243
Tcp11l1,166,185,167,136,133,127,166,145,168,95,285,200
Stxbp1,1330,1400,1197,1068,1245,1038,1323,1364,1542,1038,2318,1340
Ppp1r3d,265,255,182,161,172,151,155,187,243,101,329,280
Snapc4,910,1082,799,957,742,609,793,645,659,510,1465,893
Ankrd16,459,583,430,439,416,334,426,377,404,360,839,457
Spef1,392,442,350,349,401,331,328,271,316,168,422,407
Fam210b,4258,3766,3231,2085,2495,2523,2720,2741,2197,1391,3743,3695
Col9a3,46,39,59,57,34,37,47,36,45,48,133,46
Celf1,2227,1881,1569,1392,2128,1752,1910,1647,2149,1219,2921,1786
Ccdc148,5,4,0,0,4,3,5,3,5,0,0,6
Tnks1bp1,7300,7504,6959,6129,5912,5712,6392,8489,9163,6555,15535,7477
8430437L04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a25,4668,6080,4170,2995,4467,4141,4190,4074,2967,2726,6549,4230
Ywhab,8121,9471,7799,5488,6680,6204,7280,9286,9626,7184,14588,8756
Med19,498,579,463,321,396,292,390,549,584,374,822,475
Gm10857,3,12,4,7,5,3,6,11,29,10,28,8
Xirp2,0,0,0,0,0,0,0,0,0,0,0,0
Eya2,22,129,101,135,101,75,88,78,102,49,85,196
Arpc5l,622,811,627,562,726,543,639,713,824,545,1106,679
Mrpl41,301,313,286,240,259,204,270,318,365,228,554,267
Nebl,5433,4294,3933,2347,2687,3541,3415,3335,2770,2542,4704,4407
Mamdc4,217,234,168,177,175,116,183,112,133,88,319,184
Ckmt1,5,5,0,0,5,0,0,0,0,0,0,4
Soga1,12499,10995,9991,8353,9108,8676,10703,7243,6746,5213,12442,12466
Kif18a,36,75,43,29,30,27,33,68,111,54,102,47
Alx4,23,40,21,24,28,27,8,34,39,16,51,37
Nr5a1,0,0,0,0,0,0,0,0,0,0,0,0
Ralgapa2,386,402,347,297,341,286,357,317,322,251,625,478
Ovol2,0,0,0,0,0,0,0,0,0,0,0,0
Rcn1,10368,10361,8753,6608,9616,7672,9822,8110,9993,7006,12216,9914
Olfr1148,0,0,0,0,0,0,0,0,0,0,0,0
Npepl1,2092,2159,1744,1713,1789,1440,1685,1586,1756,1226,2853,1904
Olfr1143,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1141,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1140,0,0,0,0,0,0,0,0,0,0,0,0
Prrx2,379,478,384,430,438,374,568,560,789,441,910,521
Syndig1,9,0,5,15,9,11,0,3,13,5,7,12
Dtwd1,172,238,153,158,156,127,134,207,244,150,314,196
Tmem127,4128,4267,4137,2932,3595,3172,3715,3850,4270,2813,5962,4490
Tlk1,1354,1392,1306,903,1246,1063,1275,1065,1349,998,1886,1392
A930019D19Rik,0,0,0,0,0,0,0,0,0,0,0,0
Tmem74b,10,15,13,15,16,16,10,7,3,10,11,19
3300002I08Rik,19,21,26,14,6,19,8,24,38,20,39,31
Mir6340,0,0,0,0,0,0,0,0,0,0,0,0
Gm14288,45,6,5,6,5,6,19,5,4,28,99,7
Celf2,4507,5355,4435,3844,3936,3908,4296,4280,4960,3512,7260,5443
E030013I19Rik,380,462,314,176,304,293,273,177,150,135,199,376
Ube2e3,1898,1958,1593,1180,1672,1470,1668,1876,1851,1339,2593,1870
Galnt5,5,14,8,5,4,7,12,5,15,8,6,14
Ppig,1578,1854,1509,1106,1235,1126,1396,1383,1694,1114,2373,1544
Trp53inp2,4647,4799,4129,2774,3891,3031,3779,3627,4179,2672,5238,4216
Ptprtos,0,0,0,0,0,0,0,0,0,0,0,0
Nr6a1,85,105,85,82,83,65,114,78,77,68,195,104
Sla2,25,0,0,0,24,16,0,0,29,28,2,0
2500004C02Rik,67,91,52,38,62,51,60,50,63,56,93,61
1700037H04Rik,236,272,223,216,240,195,256,276,386,243,463,256
Olfm1,1685,1772,1636,1259,1410,1227,1629,1244,1243,866,1736,1882
Tsc1,1648,1756,1473,1278,1333,1121,1302,1149,1265,974,2107,1759
Zfp937,379,451,300,218,349,255,295,338,380,269,473,387
B3galt1,110,258,170,124,135,127,122,195,241,135,208,225
Zfp931,335,328,67,198,217,215,54,44,129,48,330,64
4921531C22Rik,83,120,84,55,96,57,77,55,74,46,75,94
Nop10,726,956,825,643,681,608,681,718,756,482,983,834
Il1a,4,5,3,0,0,5,3,4,0,0,4,3
Il1b,25,42,26,36,20,35,17,95,21,38,172,39
Snord110,1,1,0,1,0,0,1,1,0,0,2,2
Olfr987,0,0,0,0,0,0,0,0,0,0,0,0
Gm13944,0,0,0,0,0,0,0,0,0,0,0,0
Chd6,2717,3233,2511,2194,2084,1927,2508,2186,2157,1883,3853,2927
Mpped2,26,18,28,22,23,16,17,8,9,10,9,29
Spopl,308,359,308,195,215,227,294,266,351,256,495,300
9430008C03Rik,253,301,241,249,221,159,191,223,265,197,540,250
Cacfd1,980,1150,1055,792,907,790,953,872,1049,590,1608,1099
Cacnb2,1283,1395,1129,806,912,702,834,874,852,804,1537,1223
Gpcpd1,543,738,563,441,491,431,557,612,637,670,1034,583
1700025C18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1219,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1218,0,0,0,0,0,0,0,0,0,0,0,0
Dph6,433,516,388,284,390,290,412,499,437,371,670,412
Dph7,340,438,359,265,285,243,305,285,318,220,405,396
Olfr1213,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1212,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1211,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1217,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1216,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1215,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1214,0,0,0,0,0,0,0,0,0,0,0,0
Gm14137,47,52,40,56,48,24,33,26,35,19,68,27
Helz2,3213,4229,3369,3126,2947,2690,3356,5221,5821,4050,11775,3527
A930018P22Rik,0,3,0,0,0,3,0,0,0,0,0,3
Gm14139,0,0,0,0,0,0,0,0,0,0,0,0
Mertk,1709,1551,1324,1013,1078,1150,1109,884,676,840,1471,1447
Olfr1020,0,0,0,0,0,0,0,0,0,0,0,0
Edn3,477,492,350,231,406,395,386,157,104,96,141,409
Pacsin3,699,665,594,498,578,529,582,567,566,331,883,623
Dnajc5,3168,3340,2958,2399,2622,2410,2733,2999,3243,2379,5146,3107
Zfp804a,0,2,0,0,0,0,0,0,0,0,0,0
Kcnk15,0,0,0,0,0,0,0,0,0,0,2,0
Dnajc1,2676,2939,2676,1780,2191,1965,2360,2356,2487,1842,4086,2945
Mir3960,14,10,5,11,5,3,13,5,2,3,11,17
Cerkl,2,10,20,8,5,4,7,6,7,5,5,23
9230102O04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Neb,44,35,41,59,46,22,112,42,34,35,154,53
Olfr1029,0,1,0,1,1,0,0,0,0,0,0,0
Olfr48,0,0,0,0,0,0,0,0,0,0,0,0
Psmb7,1519,2059,1654,1207,1364,1301,1515,2062,2516,1698,3335,1775
Lhx2,0,0,0,0,0,0,0,0,2,0,0,0
Lhx3,0,0,0,0,0,0,0,0,0,0,0,4
Lhx6,0,0,3,0,3,0,0,6,6,0,9,0
Cd59a,1274,1437,1113,721,1216,866,1155,832,944,812,1531,1159
Cd59b,44,104,57,36,44,66,87,43,75,61,108,51
Edem2,860,1034,889,832,759,700,680,937,1088,690,1805,1040
Pcif1,1733,2107,1637,1526,1441,1264,1358,1364,1398,1090,2203,1968
Trib3,72,76,94,104,72,57,65,68,65,63,171,114
Slmo2,592,678,600,448,559,438,594,805,959,582,1303,600
Gm13769,0,0,0,0,0,0,0,0,0,0,0,0
Kynu,0,0,0,0,0,0,0,0,0,0,0,0
Ntmt1,478,571,430,402,403,400,423,583,616,357,865,570
Mrps26,684,722,667,569,579,497,566,648,696,440,977,729
Il1f6,0,0,0,0,0,0,0,0,0,0,0,0
Dtd1,542,696,552,378,515,432,491,438,460,328,702,642
Stk4,1084,1120,1006,827,942,818,889,1024,1243,833,1754,1164
Gm13546,0,0,0,0,0,0,0,0,0,0,0,0
Snora65,39,32,46,39,49,26,39,33,63,31,93,29
Sema6d,500,649,641,549,545,625,599,446,557,372,616,682
Nat10,897,1070,859,823,803,641,799,829,1088,739,1658,977
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Hnf4aos,0,0,0,0,0,0,0,0,0,0,0,0
Gm13490,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc8,3,3,5,3,0,6,0,0,0,2,7,5
Gm13497,0,0,0,0,0,0,0,0,0,0,0,0
Gm13498,1070,1443,1390,838,1050,804,1037,1447,1888,878,2265,1263
Wfdc3,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc2,18,94,38,12,27,87,44,26,58,13,63,50
Wfdc5,0,0,0,0,0,0,0,0,0,0,0,0
1700026L06Rik,0,2,0,0,0,0,0,0,0,0,0,0
Dlx1as,0,0,0,0,0,0,0,0,0,0,0,0
4933416E03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa8,881,1060,863,724,814,722,814,1065,1240,855,1637,1049
Ppp4r1l-ps,278,334,272,318,252,203,298,207,193,217,443,289
Rae1,962,1081,896,737,829,737,815,877,965,658,1484,1032
Ada,80,97,76,77,53,57,63,190,240,199,350,107
Ankrd63,6,6,2,3,3,8,2,4,2,2,2,8
Ankrd60,0,0,0,0,0,0,0,0,0,0,0,0
Gm4724,0,1,0,0,0,0,0,0,1,0,2,0
Zfp334,586,641,562,454,462,363,463,446,636,326,811,592
Ccdc73,39,44,48,29,29,34,34,22,31,22,53,48
Ssna1,531,644,549,480,530,390,544,585,760,430,883,622
Slc32a1,0,0,0,0,0,0,0,0,0,0,0,0
Rabepk,309,386,362,256,321,263,282,364,492,279,608,417
Ntsr1,0,0,0,0,0,0,0,0,0,0,0,0
Adam33,259,431,309,615,465,336,419,169,236,171,358,479
Tspan18,893,1217,1046,1016,959,1028,1039,691,725,550,1003,1252
Nfatc2,99,87,55,75,84,84,81,67,50,47,98,86
Chmp4b,4454,4964,4129,3303,3886,3398,4166,4577,5184,3848,7791,4745
Tfpi,2658,3321,2334,1257,2287,1913,2302,2201,2629,1333,3597,2764
Tbc1d13,1437,1578,1407,1155,1410,1188,1333,1581,1711,1070,2365,1580
1700020A23Rik,2,2,0,8,6,0,0,0,0,0,8,10
Fam102a,1411,1540,1415,1112,1342,1143,1326,1429,1652,1262,2372,1495
Nusap1,48,53,47,31,50,35,53,146,359,186,236,56
Barhl1,0,0,0,2,0,0,0,5,0,0,3,0
Avp,0,0,0,0,0,0,0,0,0,0,0,0
Gpr107,2311,2547,2299,1681,2035,1791,2071,2283,2720,1781,3706,2595
Thbd,32539,28168,26954,21197,26153,26317,25377,16749,13207,9917,21696,34287
Odf2,1384,1668,1337,1292,1270,1167,1405,1405,1559,1126,2622,1530
Olfr1170,0,0,0,0,0,0,0,0,0,0,0,0
Srsf6,4761,5454,4179,4256,4441,3387,4332,4292,4804,3242,7447,4510
Olfr1176,0,0,0,0,0,0,0,0,0,0,0,0
Rps21,6300,8766,7467,5998,6284,5805,6251,7026,8164,5025,9940,7553
Olfr1178,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1179,0,0,0,0,0,0,0,0,0,0,0,0
Dhtkd1,191,277,167,171,157,155,118,114,89,121,189,204
Gm10714,0,0,0,0,0,0,0,0,0,0,0,0
Rapsn,20,47,29,33,16,23,13,32,43,27,60,41
Mocs3,157,119,104,117,119,103,106,107,141,85,227,152
Ndufs3,1226,1704,1380,1014,1096,885,1110,1385,1529,1023,2153,1476
Ndufaf1,298,381,270,200,273,186,226,257,331,214,412,294
Olfr1145,0,0,0,0,0,0,0,0,0,0,0,0
Fmnl2,1324,1589,1429,1141,1322,1386,1508,1209,1430,1211,1915,1619
Trp53i11,301,376,319,254,222,191,200,428,538,287,750,342
Olfr1273-ps,0,0,0,0,0,0,0,0,0,0,0,0
Sh3glb2,1117,1262,1042,944,1022,813,968,909,1035,607,1298,1132
Prkcq,0,3,12,9,0,2,0,9,3,0,29,5
Crnkl1,832,887,803,569,674,649,747,847,945,630,1271,916
4930402F06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fnbp1,2401,2811,2713,2277,1930,1979,2375,1832,2140,1434,3253,3084
Fnbp4,1594,1872,1526,1551,1379,1162,1471,1421,1547,1196,3100,1657
Ppapdc3,330,315,269,250,287,224,263,235,239,183,387,302
Lsm14b,1087,1047,975,803,866,824,978,978,1262,779,1676,1077
Chrm5,1,3,4,7,1,0,4,0,0,1,2,2
Chrm4,0,9,9,10,3,5,8,7,4,2,8,7
Lrrc26,0,2,0,0,2,2,0,8,0,0,0,0
Arfgap2,2483,2841,2339,2012,2055,1940,2238,2212,2399,1635,3769,2737
Arfgap1,2368,2495,1882,1775,1896,1567,1987,2319,2793,1707,4172,2194
Mvb12b,1512,1499,1343,981,1282,1050,1365,1239,1337,957,1923,1596
Rbbp9,1381,1720,1453,945,1181,1087,1153,1140,1151,875,1616,1522
Gm14436,0,0,0,0,0,0,0,0,0,0,0,0
Gm14434,0,300,0,0,682,0,0,0,400,0,1055,0
Gm14431,376,629,356,244,822,556,0,0,427,0,75,340
Gm14430,0,1,0,0,0,0,0,0,1,0,2,0
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1198,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1199,0,0,0,0,0,0,0,0,0,0,0,0
Snta1,1252,1373,1071,897,1031,951,1146,1130,1199,1119,2006,1146
Hnrnpa3,6980,11084,8096,5418,6762,6645,8301,11297,12880,9952,20326,7209
Nrsn2,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1193,0,0,0,0,0,0,0,0,0,0,0,0
Cstad,45,67,18,23,32,18,27,33,35,26,44,36
Olfr1195,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1196,0,0,0,0,0,0,0,0,0,0,0,0
Rin2,6903,6561,6298,4405,4380,5298,4748,4030,4648,2847,5955,7292
F830045P16Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam73b,1932,1853,1646,1328,1425,1423,1369,1201,1213,702,1978,1847
Suv39h2,58,89,59,54,67,51,66,88,125,63,139,60
Aurka,114,130,116,76,80,59,103,272,496,309,403,111
Snx5,1329,2058,1673,1364,1590,1309,1522,1721,2154,1265,2596,2148
4933406D12Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm8898,749,901,763,371,918,1074,0,0,1086,0,1540,921
Dzank1,203,286,236,156,173,165,169,132,113,66,167,294
Romo1,771,1003,786,684,745,652,745,860,889,599,1203,836
Olfr1228,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1229,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1226,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1225,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1222,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1223,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1220,0,0,0,0,0,0,0,0,0,0,0,0
Dapl1,0,0,0,0,0,0,0,0,0,0,0,0
Stk35,839,1040,894,803,854,749,839,1050,1212,998,1756,1036
Ddb2,309,421,311,334,279,237,269,262,223,190,431,352
Stk39,347,514,431,342,385,342,409,406,518,406,657,451
Ccdc183,0,3,0,3,0,0,0,0,3,0,8,3
Tyro3,460,453,478,387,512,403,554,580,752,409,840,462
Zfp385b,40,34,47,21,46,33,52,29,30,31,65,38
Ptrh1,91,120,113,80,109,84,107,173,241,141,300,113
Mkks,545,633,510,411,502,488,525,493,646,352,718,650
Gad1,0,0,2,0,0,0,0,0,2,0,0,0
Gad2,3,5,11,4,3,3,0,44,70,8,20,8
Rbbp8nl,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2l1,1898,1917,1578,1283,1693,1372,1594,1455,1540,1149,2298,1846
Ptpla,102,125,76,111,133,80,160,191,189,159,315,91
Spc25,14,22,11,16,24,10,19,149,338,126,162,12
Wdr76,104,162,116,65,100,84,104,172,213,137,254,139
Fam65c,255,289,224,246,284,201,258,188,223,150,351,251
Gm13629,0,0,0,0,0,0,0,0,0,0,0,0
Prrc2b,16207,16911,14588,12092,13377,12193,13801,13194,14610,10513,24671,17834
Cdh22,362,404,396,283,326,229,405,230,292,126,212,369
Camsap1,1353,1431,1333,1070,1309,1115,1382,1231,1459,942,2113,1425
Cdh26,0,0,0,0,0,0,0,0,0,0,0,0
Olfr32,0,0,0,0,0,0,0,0,0,0,0,0
Psmc3,2821,3453,2912,2298,2500,2253,2600,3706,4476,2907,6377,3043
Dolk,588,670,609,467,527,415,527,581,691,414,911,668
Ldlrad3,1055,1140,974,640,827,743,843,881,1065,722,1205,1090
4931423N10Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm13710,0,0,0,0,0,0,0,3,3,0,2,0
Zcchc3,250,245,213,183,191,142,190,224,266,172,420,234
Nkain4,322,313,215,179,363,318,365,203,242,193,357,299
Epb4.2,0,0,0,0,0,0,0,0,0,0,0,0
Gm13539,0,0,0,0,0,0,0,0,0,0,0,0
Prpf40a,1460,1615,1374,960,1010,1114,1296,1517,1782,1310,2577,1469
Gchfr,3,0,0,0,3,0,0,0,0,0,4,0
5430405H02Rik,91,107,88,77,59,53,82,73,52,54,118,88
Mir195b,0,0,0,0,0,0,0,0,0,0,0,0
Plcg1,2430,2565,2276,1884,1879,1805,2127,1914,2089,1529,3265,2596
Dido1,1918,2517,1976,1590,1583,1485,1729,2048,2223,1565,3566,2236
Phyh,1005,1355,1174,812,963,778,1004,1019,1059,849,1790,1257
Gins1,41,75,49,26,37,36,34,103,167,100,136,46
4930470P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ggta1,165,229,183,157,200,222,169,220,358,161,324,228
Stam2,1169,1292,1115,771,934,958,1028,1395,1559,1181,2097,1234
Gm13446,0,2,0,0,0,0,0,0,0,0,0,0
Lrp1b,0,0,0,0,0,0,0,0,0,0,0,0
Ggt7,81,223,178,112,95,72,89,184,198,132,341,146
Mdk,1837,2144,1629,1106,1739,1236,1558,1400,2029,1101,1974,1571
Fbxo18,2313,2783,2350,1932,2165,2053,2299,2284,2595,1666,3441,2636
BC005624,1302,1664,1431,1091,1131,1027,1137,1100,1287,803,1747,1586
Ddrgk1,2412,2834,2357,2110,2155,1769,1979,1607,1631,1203,2856,2747
Spata2,635,768,735,620,642,598,605,641,812,573,1167,812
Mir1954,0,0,0,0,0,0,0,0,0,0,0,0
Mir1955,0,0,0,0,0,1,1,0,0,1,0,0
Mir1952,0,0,0,0,0,0,0,0,0,0,0,0
Mir1953,1,0,0,0,0,0,1,0,0,0,0,0
Mir1951,0,0,0,0,0,0,0,0,0,0,0,0
Ak8,5,2,3,0,1,3,3,2,2,1,7,3
Galk2,406,562,552,364,487,422,506,568,785,427,899,570
Ambra1,1575,1810,1617,1396,1372,1241,1352,1318,1406,1104,2306,1897
Insm1,0,0,0,0,0,0,1,0,1,1,0,1
A530058N18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lzts3,892,873,802,658,728,675,687,536,590,378,945,935
Ddx27,902,960,899,726,809,674,823,919,1107,712,1609,962
C130021I20Rik,0,0,0,6,0,0,0,0,0,0,4,0
Mrps5,632,818,654,496,544,512,538,646,817,515,1144,720
Mrps2,455,486,407,334,411,321,388,584,633,401,856,464
LOC171588,0,2,2,2,0,0,0,2,0,2,3,2
